month,billed_business,non_interest_revenue,net_interest_income,spend_related_revenue,card_fee_revenue,other_non_interest_revenue,effective_monetization_rate,rewards_cost_rate,classification
2025-01-01,52.576,1677.76,961.92,1140.8768,402.6624,134.2208,0.021699573950091297,0.023627510651247716,SYNTHETIC_ALLOCATED
2025-02-01,50.933,1625.33,931.86,1105.2244,390.07919999999996,130.0263999999999,0.021699573950091297,0.02362751065124772,SYNTHETIC_ALLOCATED
2025-03-01,60.791,1939.91,1112.22,1319.1388000000002,465.5784,155.19279999999992,0.0216995739500913,0.023627510651247716,SYNTHETIC_ALLOCATED
2025-04-01,58.245,1828.2,994.29,1243.1760000000002,438.768,146.25599999999991,0.02134390934844193,0.022475920679886685,SYNTHETIC_ALLOCATED
2025-05-01,58.245,1828.2,994.29,1243.1760000000002,438.768,146.25599999999991,0.02134390934844193,0.022475920679886685,SYNTHETIC_ALLOCATED
2025-06-01,60.01,1883.6,1024.42,1280.848,452.06399999999996,150.688,0.021343909348441926,0.022475920679886685,SYNTHETIC_ALLOCATED
2025-07-01,56.8,1798.4,1035.52,1222.9120000000003,431.616,143.87199999999984,0.021530140845070427,0.02335211267605634,SYNTHETIC_ALLOCATED
2025-08-01,58.575,1854.6,1067.88,1261.128,445.104,148.368,0.021530140845070423,0.023352112676056337,SYNTHETIC_ALLOCATED
2025-09-01,62.125,1967.0,1132.6,1337.5600000000002,472.08,157.35999999999984,0.021530140845070427,0.023352112676056337,SYNTHETIC_ALLOCATED
2025-10-01,56.76,1771.2,975.6,1204.4160000000002,425.088,141.69599999999986,0.021219450317124737,0.024117336152219875,SYNTHETIC_ALLOCATED
2025-11-01,58.652,1830.24,1008.12,1244.5632,439.25759999999997,146.4192,0.021219450317124737,0.024117336152219872,SYNTHETIC_ALLOCATED
2025-12-01,73.788,2302.56,1268.28,1565.7408,552.6143999999999,184.20479999999998,0.021219450317124737,0.024117336152219872,SYNTHETIC_ALLOCATED
