month,channel,marketing_spend,new_accounts,cac,first_year_contribution,contribution_per_marketing_dollar,payback_months,break_even_cac,classification
2025-01-01,Direct Mail,37.048875,88211.60714285714,420,54.69119642857143,1.4761904761904763,8.129032258064516,620,SYNTHETIC_ASSUMPTION
2025-01-01,Paid Search,32.603010000000005,90563.91666666667,360,53.43271083333334,1.6388888888888888,7.322033898305085,590,SYNTHETIC_ASSUMPTION
2025-01-01,Affiliate / Partner,41.49474000000001,81362.23529411767,510,63.462543529411775,1.5294117647058822,7.846153846153846,780,SYNTHETIC_ASSUMPTION
2025-01-01,Digital / Paid Media,37.048875,94997.11538461539,390,57.94824038461539,1.564102564102564,7.672131147540983,610,SYNTHETIC_ASSUMPTION
2025-02-01,Direct Mail,37.048875,88211.60714285714,420,54.69119642857143,1.4761904761904763,8.129032258064516,620,SYNTHETIC_ASSUMPTION
2025-02-01,Paid Search,32.603010000000005,90563.91666666667,360,53.43271083333334,1.6388888888888888,7.322033898305085,590,SYNTHETIC_ASSUMPTION
2025-02-01,Affiliate / Partner,41.49474000000001,81362.23529411767,510,63.462543529411775,1.5294117647058822,7.846153846153846,780,SYNTHETIC_ASSUMPTION
2025-02-01,Digital / Paid Media,37.048875,94997.11538461539,390,57.94824038461539,1.564102564102564,7.672131147540983,610,SYNTHETIC_ASSUMPTION
2025-03-01,Direct Mail,39.5188,94092.38095238095,420,58.33727619047619,1.4761904761904763,8.129032258064516,620,SYNTHETIC_ASSUMPTION
2025-03-01,Paid Search,34.776544,96601.51111111112,360,56.99489155555556,1.6388888888888888,7.322033898305085,590,SYNTHETIC_ASSUMPTION
2025-03-01,Affiliate / Partner,44.261056,86786.38431372549,510,67.69337976470588,1.5294117647058822,7.846153846153846,780,SYNTHETIC_ASSUMPTION
2025-03-01,Digital / Paid Media,39.5188,101330.2564102564,390,61.81145641025641,1.564102564102564,7.672131147540983,610,SYNTHETIC_ASSUMPTION
2025-04-01,Direct Mail,39.5188,94092.38095238095,420,58.33727619047619,1.4761904761904763,8.129032258064516,620,SYNTHETIC_ASSUMPTION
2025-04-01,Paid Search,34.776544,96601.51111111112,360,56.99489155555556,1.6388888888888888,7.322033898305085,590,SYNTHETIC_ASSUMPTION
2025-04-01,Affiliate / Partner,44.261056,86786.38431372549,510,67.69337976470588,1.5294117647058822,7.846153846153846,780,SYNTHETIC_ASSUMPTION
2025-04-01,Digital / Paid Media,39.5188,101330.2564102564,390,61.81145641025641,1.564102564102564,7.672131147540983,610,SYNTHETIC_ASSUMPTION
2025-05-01,Direct Mail,39.5188,94092.38095238095,420,58.33727619047619,1.4761904761904763,8.129032258064516,620,SYNTHETIC_ASSUMPTION
2025-05-01,Paid Search,34.776544,96601.51111111112,360,56.99489155555556,1.6388888888888888,7.322033898305085,590,SYNTHETIC_ASSUMPTION
2025-05-01,Affiliate / Partner,44.261056,86786.38431372549,510,67.69337976470588,1.5294117647058822,7.846153846153846,780,SYNTHETIC_ASSUMPTION
2025-05-01,Digital / Paid Media,39.5188,101330.2564102564,390,61.81145641025641,1.564102564102564,7.672131147540983,610,SYNTHETIC_ASSUMPTION
2025-06-01,Direct Mail,39.5188,94092.38095238095,420,58.33727619047619,1.4761904761904763,8.129032258064516,620,SYNTHETIC_ASSUMPTION
2025-06-01,Paid Search,34.776544,96601.51111111112,360,56.99489155555556,1.6388888888888888,7.322033898305085,590,SYNTHETIC_ASSUMPTION
2025-06-01,Affiliate / Partner,44.261056,86786.38431372549,510,67.69337976470588,1.5294117647058822,7.846153846153846,780,SYNTHETIC_ASSUMPTION
2025-06-01,Digital / Paid Media,39.5188,101330.2564102564,390,61.81145641025641,1.564102564102564,7.672131147540983,610,SYNTHETIC_ASSUMPTION
2025-07-01,Direct Mail,41.988725,99973.15476190476,420,61.983355952380954,1.4761904761904763,8.129032258064516,620,SYNTHETIC_ASSUMPTION
2025-07-01,Paid Search,36.950078000000005,102639.10555555558,360,60.55707227777779,1.6388888888888888,7.322033898305085,590,SYNTHETIC_ASSUMPTION
2025-07-01,Affiliate / Partner,47.02737200000001,92210.53333333335,510,71.92421600000002,1.5294117647058822,7.846153846153846,780,SYNTHETIC_ASSUMPTION
2025-07-01,Digital / Paid Media,41.988725,107663.39743589744,390,65.67467243589743,1.564102564102564,7.672131147540983,610,SYNTHETIC_ASSUMPTION
2025-08-01,Direct Mail,41.988725,99973.15476190476,420,61.983355952380954,1.4761904761904763,8.129032258064516,620,SYNTHETIC_ASSUMPTION
2025-08-01,Paid Search,36.950078000000005,102639.10555555558,360,60.55707227777779,1.6388888888888888,7.322033898305085,590,SYNTHETIC_ASSUMPTION
2025-08-01,Affiliate / Partner,47.02737200000001,92210.53333333335,510,71.92421600000002,1.5294117647058822,7.846153846153846,780,SYNTHETIC_ASSUMPTION
2025-08-01,Digital / Paid Media,41.988725,107663.39743589744,390,65.67467243589743,1.564102564102564,7.672131147540983,610,SYNTHETIC_ASSUMPTION
