month,cost_center,job_family,beginning_headcount,hires,attrition,ending_headcount,average_headcount,loaded_cost_per_employee,personnel_expense,classification
2025-01-01,Consumer Card Products & Portfolio,Analyst / Associate,499.56,5.244000000000001,3.588,501.216,500.388,145000,6.046355,SYNTHETIC_ASSUMPTION
2025-01-01,Consumer Card Products & Portfolio,Manager / Senior Manager,336.66,3.5340000000000003,2.418,337.77599999999995,337.21799999999996,205000,5.760807499999999,SYNTHETIC_ASSUMPTION
2025-01-01,Consumer Card Products & Portfolio,Director,184.62,1.9380000000000002,1.326,185.232,184.92600000000002,285000,4.391992500000001,SYNTHETIC_ASSUMPTION
2025-01-01,Consumer Card Products & Portfolio,VP+,65.16,0.6839999999999999,0.46799999999999997,65.37599999999999,65.268,430000,2.33877,SYNTHETIC_ASSUMPTION
2025-01-01,Lending & U.S. Consumer Banking,Analyst / Associate,499.56,5.244000000000001,3.588,501.216,500.388,145000,6.046355,SYNTHETIC_ASSUMPTION
2025-01-01,Lending & U.S. Consumer Banking,Manager / Senior Manager,336.66,3.5340000000000003,2.418,337.77599999999995,337.21799999999996,205000,5.760807499999999,SYNTHETIC_ASSUMPTION
2025-01-01,Lending & U.S. Consumer Banking,Director,184.62,1.9380000000000002,1.326,185.232,184.92600000000002,285000,4.391992500000001,SYNTHETIC_ASSUMPTION
2025-01-01,Lending & U.S. Consumer Banking,VP+,65.16,0.6839999999999999,0.46799999999999997,65.37599999999999,65.268,430000,2.33877,SYNTHETIC_ASSUMPTION
2025-01-01,Membership Rewards & Card Member Benefits,Analyst / Associate,499.56,5.244000000000001,3.588,501.216,500.388,145000,6.046355,SYNTHETIC_ASSUMPTION
2025-01-01,Membership Rewards & Card Member Benefits,Manager / Senior Manager,336.66,3.5340000000000003,2.418,337.77599999999995,337.21799999999996,205000,5.760807499999999,SYNTHETIC_ASSUMPTION
2025-01-01,Membership Rewards & Card Member Benefits,Director,184.62,1.9380000000000002,1.326,185.232,184.92600000000002,285000,4.391992500000001,SYNTHETIC_ASSUMPTION
2025-01-01,Membership Rewards & Card Member Benefits,VP+,65.16,0.6839999999999999,0.46799999999999997,65.37599999999999,65.268,430000,2.33877,SYNTHETIC_ASSUMPTION
2025-01-01,"Travel, Lifestyle, Dining & Lounges",Analyst / Associate,333.04,3.4960000000000004,2.3920000000000003,334.144,333.59200000000004,145000,4.030903333333334,SYNTHETIC_ASSUMPTION
2025-01-01,"Travel, Lifestyle, Dining & Lounges",Manager / Senior Manager,224.44,2.3560000000000003,1.612,225.184,224.812,205000,3.8405383333333334,SYNTHETIC_ASSUMPTION
2025-01-01,"Travel, Lifestyle, Dining & Lounges",Director,123.08000000000001,1.2920000000000003,0.8840000000000001,123.488,123.28400000000002,285000,2.9279950000000006,SYNTHETIC_ASSUMPTION
2025-01-01,"Travel, Lifestyle, Dining & Lounges",VP+,43.44,0.456,0.312,43.583999999999996,43.512,430000,1.55918,SYNTHETIC_ASSUMPTION
2025-01-01,Cobrand Partnerships & Business Development,Analyst / Associate,416.3,4.37,2.99,417.68,416.99,145000,5.038629166666667,SYNTHETIC_ASSUMPTION
2025-01-01,Cobrand Partnerships & Business Development,Manager / Senior Manager,280.55,2.945,2.015,281.48,281.015,205000,4.800672916666667,SYNTHETIC_ASSUMPTION
2025-01-01,Cobrand Partnerships & Business Development,Director,153.85000000000002,1.6150000000000002,1.105,154.36,154.10500000000002,285000,3.6599937500000004,SYNTHETIC_ASSUMPTION
2025-01-01,Cobrand Partnerships & Business Development,VP+,54.3,0.57,0.39,54.48,54.39,430000,1.948975,SYNTHETIC_ASSUMPTION
2025-01-01,U.S. Consumer Marketing & Acquisition,Analyst / Associate,499.56,5.244000000000001,3.588,501.216,500.388,145000,6.046355,SYNTHETIC_ASSUMPTION
2025-01-01,U.S. Consumer Marketing & Acquisition,Manager / Senior Manager,336.66,3.5340000000000003,2.418,337.77599999999995,337.21799999999996,205000,5.760807499999999,SYNTHETIC_ASSUMPTION
2025-01-01,U.S. Consumer Marketing & Acquisition,Director,184.62,1.9380000000000002,1.326,185.232,184.92600000000002,285000,4.391992500000001,SYNTHETIC_ASSUMPTION
2025-01-01,U.S. Consumer Marketing & Acquisition,VP+,65.16,0.6839999999999999,0.46799999999999997,65.37599999999999,65.268,430000,2.33877,SYNTHETIC_ASSUMPTION
2025-01-01,"Product, Data & Technology",Analyst / Associate,749.34,7.866,5.382,751.824,750.5820000000001,145000,9.069532500000001,SYNTHETIC_ASSUMPTION
2025-01-01,"Product, Data & Technology",Manager / Senior Manager,504.99,5.300999999999999,3.627,506.66399999999993,505.827,205000,8.64121125,SYNTHETIC_ASSUMPTION
2025-01-01,"Product, Data & Technology",Director,276.93,2.907,1.989,277.848,277.389,285000,6.58798875,SYNTHETIC_ASSUMPTION
2025-01-01,"Product, Data & Technology",VP+,97.74,1.0259999999999998,0.702,98.064,97.902,430000,3.508155,SYNTHETIC_ASSUMPTION
2025-01-01,"Servicing, Operations & Business Support",Analyst / Associate,666.08,6.992000000000001,4.784000000000001,668.288,667.1840000000001,145000,8.061806666666667,SYNTHETIC_ASSUMPTION
2025-01-01,"Servicing, Operations & Business Support",Manager / Senior Manager,448.88,4.712000000000001,3.224,450.368,449.624,205000,7.681076666666667,SYNTHETIC_ASSUMPTION
2025-01-01,"Servicing, Operations & Business Support",Director,246.16000000000003,2.5840000000000005,1.7680000000000002,246.976,246.56800000000004,285000,5.855990000000001,SYNTHETIC_ASSUMPTION
2025-01-01,"Servicing, Operations & Business Support",VP+,86.88,0.912,0.624,87.16799999999999,87.024,430000,3.11836,SYNTHETIC_ASSUMPTION
2025-02-01,Consumer Card Products & Portfolio,Analyst / Associate,501.216,4.416,3.5328,502.0992,501.6576,145000,6.061696,SYNTHETIC_ASSUMPTION
2025-02-01,Consumer Card Products & Portfolio,Manager / Senior Manager,337.77599999999995,2.976,2.3808,338.3712,338.0736,205000,5.775424,SYNTHETIC_ASSUMPTION
2025-02-01,Consumer Card Products & Portfolio,Director,185.232,1.6320000000000001,1.3056,185.5584,185.39520000000002,285000,4.403136000000001,SYNTHETIC_ASSUMPTION
2025-02-01,Consumer Card Products & Portfolio,VP+,65.37599999999999,0.576,0.4608,65.49119999999999,65.4336,430000,2.344704,SYNTHETIC_ASSUMPTION
2025-02-01,Lending & U.S. Consumer Banking,Analyst / Associate,501.216,4.416,3.5328,502.0992,501.6576,145000,6.061696,SYNTHETIC_ASSUMPTION
2025-02-01,Lending & U.S. Consumer Banking,Manager / Senior Manager,337.77599999999995,2.976,2.3808,338.3712,338.0736,205000,5.775424,SYNTHETIC_ASSUMPTION
2025-02-01,Lending & U.S. Consumer Banking,Director,185.232,1.6320000000000001,1.3056,185.5584,185.39520000000002,285000,4.403136000000001,SYNTHETIC_ASSUMPTION
2025-02-01,Lending & U.S. Consumer Banking,VP+,65.37599999999999,0.576,0.4608,65.49119999999999,65.4336,430000,2.344704,SYNTHETIC_ASSUMPTION
2025-02-01,Membership Rewards & Card Member Benefits,Analyst / Associate,501.216,4.416,3.5328,502.0992,501.6576,145000,6.061696,SYNTHETIC_ASSUMPTION
2025-02-01,Membership Rewards & Card Member Benefits,Manager / Senior Manager,337.77599999999995,2.976,2.3808,338.3712,338.0736,205000,5.775424,SYNTHETIC_ASSUMPTION
2025-02-01,Membership Rewards & Card Member Benefits,Director,185.232,1.6320000000000001,1.3056,185.5584,185.39520000000002,285000,4.403136000000001,SYNTHETIC_ASSUMPTION
2025-02-01,Membership Rewards & Card Member Benefits,VP+,65.37599999999999,0.576,0.4608,65.49119999999999,65.4336,430000,2.344704,SYNTHETIC_ASSUMPTION
2025-02-01,"Travel, Lifestyle, Dining & Lounges",Analyst / Associate,334.144,2.9440000000000004,2.3552,334.73280000000005,334.4384,145000,4.041130666666667,SYNTHETIC_ASSUMPTION
2025-02-01,"Travel, Lifestyle, Dining & Lounges",Manager / Senior Manager,225.184,1.984,1.5872,225.5808,225.3824,205000,3.8502826666666663,SYNTHETIC_ASSUMPTION
2025-02-01,"Travel, Lifestyle, Dining & Lounges",Director,123.488,1.088,0.8704000000000001,123.70560000000002,123.5968,285000,2.935424,SYNTHETIC_ASSUMPTION
2025-02-01,"Travel, Lifestyle, Dining & Lounges",VP+,43.583999999999996,0.384,0.3072,43.6608,43.6224,430000,1.563136,SYNTHETIC_ASSUMPTION
2025-02-01,Cobrand Partnerships & Business Development,Analyst / Associate,417.68,3.68,2.9440000000000004,418.41600000000005,418.04800000000006,145000,5.0514133333333335,SYNTHETIC_ASSUMPTION
2025-02-01,Cobrand Partnerships & Business Development,Manager / Senior Manager,281.48,2.48,1.984,281.976,281.728,205000,4.812853333333333,SYNTHETIC_ASSUMPTION
2025-02-01,Cobrand Partnerships & Business Development,Director,154.36,1.36,1.088,154.632,154.496,285000,3.66928,SYNTHETIC_ASSUMPTION
2025-02-01,Cobrand Partnerships & Business Development,VP+,54.48,0.48,0.384,54.576,54.528,430000,1.95392,SYNTHETIC_ASSUMPTION
2025-02-01,U.S. Consumer Marketing & Acquisition,Analyst / Associate,501.216,4.416,3.5328,502.0992,501.6576,145000,6.061696,SYNTHETIC_ASSUMPTION
2025-02-01,U.S. Consumer Marketing & Acquisition,Manager / Senior Manager,337.77599999999995,2.976,2.3808,338.3712,338.0736,205000,5.775424,SYNTHETIC_ASSUMPTION
2025-02-01,U.S. Consumer Marketing & Acquisition,Director,185.232,1.6320000000000001,1.3056,185.5584,185.39520000000002,285000,4.403136000000001,SYNTHETIC_ASSUMPTION
2025-02-01,U.S. Consumer Marketing & Acquisition,VP+,65.37599999999999,0.576,0.4608,65.49119999999999,65.4336,430000,2.344704,SYNTHETIC_ASSUMPTION
2025-02-01,"Product, Data & Technology",Analyst / Associate,751.824,6.624,5.2992,753.1488,752.4864,145000,9.092544,SYNTHETIC_ASSUMPTION
2025-02-01,"Product, Data & Technology",Manager / Senior Manager,506.66399999999993,4.4639999999999995,3.5711999999999997,507.5568,507.11039999999997,205000,8.663136,SYNTHETIC_ASSUMPTION
2025-02-01,"Product, Data & Technology",Director,277.848,2.448,1.9584000000000001,278.3376,278.0928,285000,6.604704,SYNTHETIC_ASSUMPTION
2025-02-01,"Product, Data & Technology",VP+,98.064,0.8639999999999999,0.6911999999999999,98.23679999999999,98.15039999999999,430000,3.5170559999999997,SYNTHETIC_ASSUMPTION
2025-02-01,"Servicing, Operations & Business Support",Analyst / Associate,668.288,5.888000000000001,4.7104,669.4656000000001,668.8768,145000,8.082261333333333,SYNTHETIC_ASSUMPTION
2025-02-01,"Servicing, Operations & Business Support",Manager / Senior Manager,450.368,3.968,3.1744,451.1616,450.7648,205000,7.700565333333333,SYNTHETIC_ASSUMPTION
2025-02-01,"Servicing, Operations & Business Support",Director,246.976,2.176,1.7408000000000001,247.41120000000004,247.1936,285000,5.870848,SYNTHETIC_ASSUMPTION
