month,cost_center,personnel_expense,salaries_other,published_bucket_allocation,non_personnel_opex,vendor_spend,technology_expense,occupancy_shared,other_opex,classification
2025-01-01,Cobrand Partnerships & Business Development,15.448270833333334,396.48,39.648,24.19972916666667,9.195897083333335,5.8079350000000005,3.3879620833333344,5.8079350000000005,SYNTHETIC_ALLOCATED
2025-01-01,Consumer Card Products & Portfolio,18.537925,396.48,47.577600000000004,29.039675000000003,11.0350765,6.969522,4.065554500000001,6.969521999999998,SYNTHETIC_ALLOCATED
2025-01-01,Lending & U.S. Consumer Banking,18.537925,396.48,47.577600000000004,29.039675000000003,11.0350765,6.969522,4.065554500000001,6.969521999999998,SYNTHETIC_ALLOCATED
2025-01-01,Membership Rewards & Card Member Benefits,18.537925,396.48,47.577600000000004,29.039675000000003,11.0350765,6.969522,4.065554500000001,6.969521999999998,SYNTHETIC_ALLOCATED
2025-01-01,"Product, Data & Technology",27.806887500000002,396.48,71.3664,43.5595125,16.55261475,10.454282999999998,6.09833175,10.454282999999997,SYNTHETIC_ALLOCATED
2025-01-01,"Servicing, Operations & Business Support",24.717233333333336,396.48,63.436800000000005,38.719566666666665,14.713435333333333,9.292696,5.420739333333334,9.292696,SYNTHETIC_ALLOCATED
2025-01-01,"Travel, Lifestyle, Dining & Lounges",12.358616666666668,396.48,31.718400000000003,19.359783333333333,7.3567176666666665,4.646348,2.710369666666667,4.646348,SYNTHETIC_ALLOCATED
2025-01-01,U.S. Consumer Marketing & Acquisition,18.537925,396.48,47.577600000000004,29.039675000000003,11.0350765,6.969522,4.065554500000001,6.969521999999998,SYNTHETIC_ALLOCATED
2025-02-01,Cobrand Partnerships & Business Development,15.487466666666666,384.09,38.409,22.921533333333333,8.710182666666666,5.501168,3.209014666666667,5.501168,SYNTHETIC_ALLOCATED
2025-02-01,Consumer Card Products & Portfolio,18.584960000000002,384.09,46.090799999999994,27.505839999999992,10.452219199999996,6.601401599999998,3.850817599999999,6.601401599999999,SYNTHETIC_ALLOCATED
2025-02-01,Lending & U.S. Consumer Banking,18.584960000000002,384.09,46.090799999999994,27.505839999999992,10.452219199999996,6.601401599999998,3.850817599999999,6.601401599999999,SYNTHETIC_ALLOCATED
2025-02-01,Membership Rewards & Card Member Benefits,18.584960000000002,384.09,46.090799999999994,27.505839999999992,10.452219199999996,6.601401599999998,3.850817599999999,6.601401599999999,SYNTHETIC_ALLOCATED
2025-02-01,"Product, Data & Technology",27.87744,384.09,69.13619999999999,41.25875999999999,15.678328799999996,9.902102399999997,5.776226399999999,9.902102399999997,SYNTHETIC_ALLOCATED
2025-02-01,"Servicing, Operations & Business Support",24.779946666666667,384.09,61.4544,36.67445333333333,13.936292266666666,8.8018688,5.134423466666667,8.801868800000001,SYNTHETIC_ALLOCATED
2025-02-01,"Travel, Lifestyle, Dining & Lounges",12.389973333333334,384.09,30.7272,18.337226666666666,6.968146133333333,4.4009344,2.5672117333333335,4.400934400000001,SYNTHETIC_ALLOCATED
2025-02-01,U.S. Consumer Marketing & Acquisition,18.584960000000002,384.09,46.090799999999994,27.505839999999992,10.452219199999996,6.601401599999998,3.850817599999999,6.601401599999999,SYNTHETIC_ALLOCATED
2025-03-01,Cobrand Partnerships & Business Development,15.517289583333335,458.43,45.843,30.325710416666666,11.523769958333334,7.2781705,4.245599458333333,7.278170500000001,SYNTHETIC_ALLOCATED
2025-03-01,Consumer Card Products & Portfolio,18.6207475,458.43,55.0116,36.3908525,13.828523950000001,8.7338046,5.094719350000001,8.7338046,SYNTHETIC_ALLOCATED
2025-03-01,Lending & U.S. Consumer Banking,18.6207475,458.43,55.0116,36.3908525,13.828523950000001,8.7338046,5.094719350000001,8.7338046,SYNTHETIC_ALLOCATED
2025-03-01,Membership Rewards & Card Member Benefits,18.6207475,458.43,55.0116,36.3908525,13.828523950000001,8.7338046,5.094719350000001,8.7338046,SYNTHETIC_ALLOCATED
2025-03-01,"Product, Data & Technology",27.93112125,458.43,82.5174,54.58627874999999,20.742785924999996,13.100706899999997,7.642079024999999,13.1007069,SYNTHETIC_ALLOCATED
